,correlation
value,1.0
lag_1,0.8693895401021887
lag_2,0.7226075823596423
rolling_mean_6,0.6547100850526839
rolling_mean_12,0.6070172446283678
lag_3,0.5834988483408996
rolling_mean_24,0.5798226662528654
lag_24,0.5581473066098109
rolling_mean_48,0.4821938223471799
load_lag_1,0.4217768214523967
lag_12,0.41107028447733207
rolling_std_6,0.39307228585221865
lag_168,0.3918270922304887
lag_48,0.39027134687376047
rolling_std_12,0.3884930930041905
load_lag_24,0.360423674119056
load_lag_2,0.3545287261710323
rolling_std_24,0.3511220705190872
load_lag_168,0.34987813713562427
lag_6,0.34080521379049594
rolling_mean_168,0.33648460161851357
lag_96,0.3113792347564868
load_rolling_mean_12,0.29608421327435974
load_rolling_mean_6,0.2870268137196989
load_rolling_mean_24,0.28178680544616025
load_lag_48,0.2769055080213357
rolling_std_48,0.2767227084876695
load_lag_3,0.2731500838131566
load_rolling_mean_48,0.2362143542909273
load_lag_96,0.2282704953769848
load_rolling_std_24,0.2282505549684222
load_lag_12,0.2232531959856076
load_rolling_std_48,0.19013736018846206
rolling_std_168,0.18081125278001847
gas_price_lag_2d,0.16140366391347644
gas_price_rolling_mean_7d,0.1592416466446346
gas_price_lag_1d,0.15905592767182278
load_rolling_mean_168,0.15788912989590131
gas_price_rolling_mean_14d,0.15727537568452143
load_rolling_std_168,0.1531580220103867
gas_price_lag_7d,0.15238901796851217
gas_price_lag_14d,0.14502181347548476
gas_price_rolling_mean_30d,0.14228060903593803
load_lag_6,0.1415809644144219
net_LT_LV_rolling_std_6,0.11668052984913617
net_LT_LV_rolling_std_24,0.11528360109625624
gas_price_lag_30d,0.11341677769126718
carbon_price_lag_7d,0.11249434237078966
net_LT_LV_rolling_std_12,0.11166237113820648
carbon_price_rolling_mean_14d,0.11024765876099336
carbon_price_lag_14d,0.10751158774069522
net_LT_LV_rolling_std_48,0.10636270129275106
hour,0.10617238671067766
carbon_price_rolling_mean_7d,0.10546099415301373
net_LT_SW_96,0.10431289126525242
carbon_price_rolling_mean_30d,0.10415162670190516
carbon_price_lag_2d,0.09856493606001669
net_LT_PL_rolling_mean_12,0.09820801658789155
carbon_price_lag_30d,0.0953484077406494
net_LT_LV_rolling_std_168,0.09476260198108251
net_LT_SW_2,0.09376734423018801
carbon_price_lag_1d,0.09320726211131436
net_LT_SW_3,0.09318527542121074
net_LT_LV_1,0.09207622497510773
net_LT_PL_rolling_mean_6,0.09059285277421492
net_LT_PL_6,0.08937787640938599
net_LT_SW_rolling_mean_6,0.08731172434280866
net_LT_SW_rolling_mean_168,0.08600705676633856
net_LT_SW_1,0.08553998107454654
net_LT_PL_rolling_mean_48,0.0832787887710965
net_LT_LV_2,0.08162718407518307
net_LT_PL_rolling_mean_24,0.08102994603711104
net_LT_PL_3,0.07607990193634667
net_LT_LV_48,0.07457123161033542
net_LT_LV_24,0.07403690327754461
net_LT_PL_2,0.07029338558329701
wind_NO_lag_168h,0.07028031917963315
net_LT_LV_3,0.06823920007976726
net_LT_SW_168,0.06745506685897207
net_LT_LV_rolling_mean_24,0.06734020011337812
generation_168,0.06706788440315939
net_LT_SW_48,0.06594588926203195
net_LT_SW_rolling_mean_12,0.06543251504323523
net_LT_PL_1,0.06335459040886489
net_LT_LV_rolling_mean_6,0.0632376682080091
net_LT_LV_rolling_mean_48,0.060730558223770235
wind_NO_rolling_mean_168h,0.057823971797556974
net_LT_SW_6,0.05769923147127666
net_LT_PL_rolling_std_6,0.05755212631839179
net_LT_PL_12,0.055354503071152174
net_LT_SW_rolling_mean_48,0.054317338598928754
net_LT_LV_96,0.050959693234180835
net_LT_SW_rolling_mean_24,0.05024663434906164
net_LT_LV_168,0.0491703528019974
net_LT_SW_24,0.04904313080574481
net_LT_LV_12,0.04871419311054258
net_LT_LV_rolling_mean_12,0.048346658268546304
wind_SE_lag_168h,0.0476463071792144
net_LT_PL_rolling_std_12,0.04372696225233316
net_LT_LV_rolling_mean_168,0.04364138866625041
wind_LT_lag_168h,0.04209906767431316
net_LT_SW_rolling_std_6,0.04099633655701802
net_LT_SW_12,0.04006420639815353
load_rolling_std_6,0.03972586742928522
wind_NO_lag_48h,0.03937515001745237
wind_EE_lag_168h,0.0382909958364553
wind_FI_lag_168h,0.03578206697568436
net_LT_PL_24,0.031617736007261664
net_LT_SW_rolling_std_168,0.03149207148711492
generation_rolling_std_6,0.0290890015424916
net_LT_LV_6,0.02899654388766233
net_LT_SW_rolling_std_12,0.025105888426210806
net_LT_PL_48,0.02503010323777398
net_LT_SW_rolling_std_24,0.022760311291320407
net_LT_PL_rolling_std_48,0.022137204235104218
net_LT_SW_rolling_std_48,0.02192663064902313
net_LT_PL_rolling_std_24,0.021846731127182228
wind_LV_lag_168h,0.02009344799255475
generation_rolling_std_24,0.009243981543239053
wind_PL_lag_168h,0.0035520960341370793
load_rolling_std_12,0.00154899497937648
gas_price_trend_30d,-0.00594964876824773
wind_FI_rolling_mean_168h,-0.009894650751686059
wind_FI_lag_48h,-0.010307922899836624
month,-0.014705533177207162
gas_price_trend_7d,-0.014935561483800269
dayofyear,-0.015004197816109868
carbon_price_trend_30d,-0.015030831986445585
net_LT_PL_rolling_mean_168,-0.015233058329179578
day,-0.0164711149046073
wind_SE_rolling_mean_168h,-0.01698445921784161
quarter,-0.01734672866829793
wind_SE_lag_48h,-0.01793176545419993
net_LT_PL_rolling_std_168,-0.020617790111440357
generation_96,-0.025328850579928917
generation_rolling_std_48,-0.029202783012812122
generation_24,-0.02969301286240439
net_LT_PL_96,-0.03500611665785372
generation_48,-0.0355592839801778
wind_EE_lag_48h,-0.037278750386487286
wind_PL_lag_48h,-0.03936071685937067
wind_NO_lag_24h,-0.04432770609053978
net_LT_PL_168,-0.04504595441449077
wind_LV_lag_48h,-0.0525065122036626
wind_EE_rolling_mean_168h,-0.05559149836424218
generation_rolling_std_12,-0.05607344276390025
wind_LT_lag_48h,-0.0596169196028101
wind_LV_rolling_mean_168h,-0.06604072494469404
generation_rolling_std_168,-0.06732983785994569
wind_PL_rolling_mean_168h,-0.07256844625874294
wind_NO_lag_1h,-0.07294774443699358
carbon_price_trend_7d,-0.07518968281616471
generation_12,-0.07652318709499221
wind_LT_rolling_mean_168h,-0.07753594132124551
year,-0.080249691443376
wind_FI_lag_24h,-0.0835486078881512
generation_rolling_mean_168,-0.08398224915820385
wind_NO_rolling_mean_24h,-0.08648994758039374
solar_LV_rolling_mean_168h,-0.10426956994701149
wind_SE_lag_24h,-0.10546592810984586
solar_LT_rolling_mean_168h,-0.10914926012906823
wind_EE_lag_24h,-0.10932049513486514
solar_PL_rolling_mean_168h,-0.10947806003137416
wind_LV_lag_24h,-0.11020192125492616
generation_6,-0.1102203525812386
solar_LV_rolling_mean_24h,-0.11461706592485231
generation_rolling_mean_12,-0.11590068964986623
solar_LT_rolling_mean_24h,-0.1166704122511839
generation_1,-0.1181680631016265
wind_PL_lag_24h,-0.11877475445791337
solar_EE_rolling_mean_168h,-0.12020267561297523
solar_NO_lag_1h,-0.12058690394411241
solar_NO_rolling_mean_24h,-0.12229944386197057
solar_FI_rolling_mean_24h,-0.1231474183755812
solar_FI_rolling_mean_168h,-0.12474485724940151
solar_SE_rolling_mean_168h,-0.12630964649424864
solar_EE_rolling_mean_24h,-0.12650472086824274
solar_PL_rolling_mean_24h,-0.12793514170305958
solar_SE_rolling_mean_24h,-0.128267358189409
generation_rolling_mean_48,-0.12836637629993708
solar_NO_rolling_mean_168h,-0.1302728357684193
wind_LT_lag_24h,-0.13060914739503302
solar_SE_lag_1h,-0.14053387183551336
generation_rolling_mean_24,-0.143084445011413
generation_2,-0.14784846890905484
generation_rolling_mean_6,-0.14818372928119328
wind_FI_rolling_mean_24h,-0.15592376573758185
generation_3,-0.16371574989525436
solar_FI_lag_1h,-0.16453797532984857
solar_PL_lag_1h,-0.16614764259070255
solar_LT_lag_1h,-0.16700357172162764
solar_NO_lag_24h,-0.174301196500913
solar_NO_lag_48h,-0.17439368592324675
solar_SE_lag_168h,-0.17572439443357668
solar_NO_lag_168h,-0.1775078693110758
solar_EE_lag_1h,-0.17897875066472246
solar_LV_lag_1h,-0.1791244158492294
solar_LV_lag_168h,-0.1803258376353664
solar_PL_lag_168h,-0.1827826058957111
solar_SE_lag_48h,-0.184389366268789
wind_FI_lag_1h,-0.1848179091805415
solar_LT_lag_168h,-0.1850812645107015
solar_EE_lag_168h,-0.18670689725843811
dayofweek,-0.18814868305289928
solar_PL_lag_48h,-0.19033734014204537
solar_FI_lag_168h,-0.1903420220740419
solar_LV_lag_48h,-0.1913309346654763
solar_SE_lag_24h,-0.19142326506298288
solar_LV_lag_24h,-0.19460267614341853
solar_LT_lag_48h,-0.19645328773534168
wind_PL_rolling_mean_24h,-0.19753073697932708
solar_PL_lag_24h,-0.19981221045432418
solar_LT_lag_24h,-0.20014782704920933
solar_FI_lag_48h,-0.20095119371526202
wind_SE_rolling_mean_24h,-0.20098850933246637
solar_EE_lag_48h,-0.20297789338018365
wind_EE_rolling_mean_24h,-0.20350124565951982
solar_FI_lag_24h,-0.20416304504972058
wind_LV_rolling_mean_24h,-0.20675502010975508
solar_EE_lag_24h,-0.2090343877382973
wind_SE_lag_1h,-0.21411796524477858
wind_PL_lag_1h,-0.2155047491816812
wind_EE_lag_1h,-0.22850980876634844
weekend,-0.23041535383329054
wind_LT_rolling_mean_24h,-0.24777478266065503
wind_LV_lag_1h,-0.2614202680366929
wind_LT_lag_1h,-0.2843761239958399
